currency,currency_description,operation_category,operation_type,rate,timestamp
USD,U.S. dollars,At exchange offices,Sell,459,1672182716.2587576
EUR,Euro,At exchange offices,Sell,487.7,1672182716.2587576
RUB,Russian rubles,At exchange offices,Sell,6.06,1672182716.2587576
GBP,Pound sterling,At exchange offices,Sell,547.2,1672182716.2587576
CHF,Swiss frank,At exchange offices,Sell,488,1672182716.2587576
CNY,Chinese yuan,At exchange offices,Sell,64.8,1672182716.2587576
KGS,Kyrgyz Som,At exchange offices,Sell,4.83,1672182716.2587576
USD,U.S. dollars,At exchange offices,Buy,465,1672182716.3256242
EUR,Euro,At exchange offices,Buy,494.7,1672182716.3256242
RUB,Russian rubles,At exchange offices,Buy,6.61,1672182716.3256242
GBP,Pound sterling,At exchange offices,Buy,572.2,1672182716.3256242
CHF,Swiss frank,At exchange offices,Buy,512.9,1672182716.3256242
CNY,Chinese yuan,At exchange offices,Buy,100.7,1672182716.3256242
KGS,Kyrgyz Som,At exchange offices,Buy,5.84,1672182716.3256242
USD,U.S. dollars,In Smartbank,Buy,459.5,1672182716.345702
EUR,Euro,In Smartbank,Buy,481.2,1672182716.345702
RUB,Russian rubles,In Smartbank,Buy,5.98,1672182716.345702
GBP,Pound sterling,In Smartbank,Buy,545.4,1672182716.345702
CHF,Swiss frank,In Smartbank,Buy,486.4,1672182716.345702
CNY,Chinese yuan,In Smartbank,Buy,63.1,1672182716.345702
KGS,Kyrgyz Som,In Smartbank,Buy,5.03,1672182716.345702
USD,U.S. dollars,In Smartbank,Buy,463.5,1672182716.367302
EUR,Euro,In Smartbank,Buy,501.2,1672182716.367302
RUB,Russian rubles,In Smartbank,Buy,6.73,1672182716.367302
GBP,Pound sterling,In Smartbank,Buy,565.4,1672182716.367302
CHF,Swiss frank,In Smartbank,Buy,506.4,1672182716.367302
CNY,Chinese yuan,In Smartbank,Buy,91.1,1672182716.367302
KGS,Kyrgyz Som,In Smartbank,Buy,5.93,1672182716.367302
USD,U.S. dollars,For legal entities,Buy,459,1672182716.3885834
EUR,Euro,For legal entities,Buy,489.3,1672182716.3885834
RUB,Russian rubles,For legal entities,Buy,6.29,1672182716.3885834
GBP,Pound sterling,For legal entities,Buy,553.4,1672182716.3885834
USD,U.S. dollars,For legal entities,Buy,465,1672182716.4020936
EUR,Euro,For legal entities,Buy,495.3,1672182716.4020936
RUB,Russian rubles,For legal entities,Buy,6.99,1672182716.4020936
GBP,Pound sterling,For legal entities,Buy,563.4,1672182716.4020936
10,gram,Gold bars,Buy,263 180 ₸,1672182716.414092
20,gram,Gold bars,Buy,526 360 ₸,1672182716.414092
50,gram,Gold bars,Buy,1 315 910 ₸,1672182716.414092
100,gram,Gold bars,Buy,2 631 820 ₸,1672182716.414092
10,gram,Gold bars,Buy,273 930 ₸,1672182716.4273908
20,gram,Gold bars,Buy,547 850 ₸,1672182716.4273908
50,gram,Gold bars,Buy,1 369 630 ₸,1672182716.4273908
100,gram,Gold bars,Buy,2 739 250 ₸,1672182716.4273908
